Comment,Designator,Footprint,LCSC,Quantity
1 uF,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849,1
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948,1
10k,"R1,R2,R3,R5",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,4
1k,"R4,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513,2
VBUS,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2297,1
SW_DIP_x03,SW1,SP-03P,C5160895,1
220h 110mHz,FB1,FERRITE_0603,C80165,1
CH224K,U1,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm_ThermalVias,C970725,1
VOUT,J2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",,1
